imagen,nombre,precio_dolares,precio_soles,link,stock
https://www.sercoplus.com/16448-home_default/mouse-gaming-primus-gladius-10000p-rgb.jpg,MOUSE GAMING PRIMUS GLADIUS 10000S RGB,44.0,170.72,https://www.sercoplus.com/mouse-gaming/11220-mouse-gaming-primus-gladius-10000p-rgb.html,6
https://www.sercoplus.com/20512-home_default/mouse-gaming-logitech-g-pro-rgb-usb.jpg,MOUSE GAMING LOGITECH G PRO RGB USB,44.9,174.21,https://www.sercoplus.com/mouse-gaming/11097-mouse-gaming-logitech-g-pro-rgb-usb.html,10
https://www.sercoplus.com/23085-home_default/mouse-gaming-logitech-g603-lightspeed-wi.jpg,MOUSE GAMING LOGITECH G603 LIGHTSPEED WIRELESS BLACK,45.9,178.09,https://www.sercoplus.com/mouse-gaming/12212-mouse-gaming-logitech-g603-lightspeed-wi.html,8
https://www.sercoplus.com/29006-home_default/kit-gaming-gc-5100-antryx-teclado-mecan.jpg,"KIT GAMING GC-5100 ANTRYX, TECLADO MECANICO, SWITCH BLUE, + MOUSE, RGB",46.7,181.2,https://www.sercoplus.com/kit-teclado-y-mouse-gaming/13466-kit-gaming-gc-5100-antryx-teclado-mecan.html,20
https://www.sercoplus.com/29010-home_default/kit-gaming-gc-5100-antryx-teclado-mecan.jpg,"KIT GAMING GC-5100 ANTRYX, TECLADO MECANICO, SWITCH RED, + MOUSE, RGB",46.7,181.2,https://www.sercoplus.com/kit-teclado-y-mouse-gaming/13467-kit-gaming-gc-5100-antryx-teclado-mecan.html,15
https://www.sercoplus.com/25344-home_default/maouse-gaming-cooler-master-mm711-white.jpg,MOUSE GAMING COOLER MASTER MM711 WHITE GLOSSY,48.0,186.24,https://www.sercoplus.com/mouse-gaming/11409-maouse-gaming-cooler-master-mm711-white.html,20
https://www.sercoplus.com/24009-home_default/mouse-gaming-msi-clutch-gm41-lightweight.jpg,MOUSE GAMING MSI CLUTCH GM41 LIGHTWEIGHT RGB,48.0,186.24,https://www.sercoplus.com/mouse-gaming/12415-mouse-gaming-msi-clutch-gm41-lightweight.html,7
https://www.sercoplus.com/20649-home_default/mouse-logitech-gamer-g403-hero.jpg,MOUSE LOGITECH GAMER G403 HERO BLACK,49.2,190.9,https://www.sercoplus.com/mouse-gaming/10363-mouse-logitech-gamer-g403-hero.html,9
https://www.sercoplus.com/16443-home_default/mouse-gaming-primus-gladius-3200p-rgb.jpg,MOUSE GAMING PRIMUS GLADIUS 32000P RGB,50.0,194.0,https://www.sercoplus.com/mouse-gaming/11219-mouse-gaming-primus-gladius-3200p-rgb.html,2
https://www.sercoplus.com/20657-home_default/mouse-logitech-gaming-g502-hero-rgb-usb-910-005469.jpg,MOUSE LOGITECH GAMING G502 HERO RGB,50.4,195.55,https://www.sercoplus.com/mouse-gaming/9623-mouse-logitech-gaming-g502-hero-rgb-usb-910-005469.html,14
