imagen,nombre,precio_soles,precio_dolares,link,stock
https://cyccomputer.pe/46023-home_default/case-lian-li-pc-011-dynamic-xl-rog-certified-white-argb-vidrio-templado-sin-fuente-usb-31usb-30-png99011dxl-w00.jpg,CASE LIAN LI PC-011 DYNAMIC XL ROG CERTIFIED WHITE ARGB VIDRIO TEMPLADO SIN FUENTE USB 3.1/USB 3.0 (PN:G99.011DXL-W.00),1006.2,258.0,https://cyccomputer.pe/case-sin-fuente/16183-case-lian-li-pc-011-dynamic-xl-rog-certified-white-argb-vidrio-templado-sin-fuente-usb-31usb-30-png99011dxl-w00.html,5
https://cyccomputer.pe/45936-home_default/ssd-2tb-kingston-fury-renegade-nvme-m2-2280-pcie-40-con-disipador-pnsfyrdk2000g.jpg,SSD 2TB KINGSTON FURY RENEGADE NVMe M.2 2280 Pcie 4.0 CON DISIPADOR (PN:SFYRDK/2000G),1076.4,276.0,https://cyccomputer.pe/ssd-m2-2280-pcie/22325-ssd-2tb-kingston-fury-renegade-nvme-m2-2280-pcie-40-con-disipador-pnsfyrdk2000g.html,2
https://cyccomputer.pe/41908-home_default/mini-pc-asrock-4x4-box-r1000v-amd-ryzen-r1505g-ssd-m2ddr4usbhdmidp-pn90pxg621-p0uay100.jpg,MINI PC ASROCK 4X4 BOX-R1000V AMD RYZEN R1505G SSD M.2/DDR4/USB/HDMI/DP (PN:90PXG621-P0UAY100),1306.5,335.0,https://cyccomputer.pe/mini-pc/20016-mini-pc-asrock-4x4-box-r1000v-amd-ryzen-r1505g-ssd-m2ddr4usbhdmidp-pn90pxg621-p0uay100.html,1
https://cyccomputer.pe/45671-home_default/ssd-2tb-wd-black-sn850-nvme-m2-2280-s3-m-compatible-consolas-ps5-pnwdbbkw0020bbk-wrsn.jpg,SSD 2TB WD BLACK SN850 NVMe M.2 2280 S3-M COMPATIBLE CONSOLAS PS5 (PN:WDBBKW0020BBK-WRSN),1326.0,340.0,https://cyccomputer.pe/ssd-m2-2280-pcie/22255-ssd-2tb-wd-black-sn850-nvme-m2-2280-s3-m-compatible-consolas-ps5-pnwdbbkw0020bbk-wrsn.html,1
https://cyccomputer.pe/35093-home_default/laptop-dynabook-tecra-a40-g-ci3-10110u-148gbssd-256gbfreedos-espanol-pnpmz21u-00p009.jpg,"LAPTOP DYNABOOK TECRA A40-G CI3-10110U 14""/8GB/SSD 256GB/FREEDOS ESPAÑOL (PN:PMZ21U-00P009)",1556.1,399.0,https://cyccomputer.pe/ofertas-cc/19806-laptop-dynabook-tecra-a40-g-ci3-10110u-148gbssd-256gbfreedos-espanol-pnpmz21u-00p009.html,10
https://cyccomputer.pe/43661-home_default/case-lian-li-odyssey-x-black-sin-fuente-vidrio-templado-usb-31usb-30-pntr-01x.jpg,CASE LIAN LI ODYSSEY X BLACK SIN FUENTE VIDRIO TEMPLADO USB 3.1/USB 3.0 (PN:TR-01X),2028.0,520.0,https://cyccomputer.pe/case-sin-fuente/21457-case-lian-li-odyssey-x-black-sin-fuente-vidrio-templado-usb-31usb-30-pntr-01x.html,1
https://cyccomputer.pe/37882-home_default/mini-pc-asrock-4x4-box-4500u-amd-ryzen-5-4500u-radeon-graphics-ssd-m2ddr4usb-hdmidp-pn90pxg7r0-p0uay100.jpg,MINI PC ASROCK 4X4 BOX-4500U AMD RYZEN 5 4500U RADEON GRAPHICS SSD M.2/DDR4/USB/ HDMI/DP (PN:90PXG7R0-P0UAY100),2145.0,550.0,https://cyccomputer.pe/mini-pc/20374-mini-pc-asrock-4x4-box-4500u-amd-ryzen-5-4500u-radeon-graphics-ssd-m2ddr4usb-hdmidp-pn90pxg7r0-p0uay100.html,1
https://cyccomputer.pe/34755-home_default/laptop-hp-15-dw1024wm-ci3-10110u-1564gbssd-128gb-win-10h-platinum.jpg,"LAPTOP HP 15-DW1024WM CI3-10110U 15.6""/4GB/SSD 128GB/ WIN 10H INGLES PLATINUM",2320.5,595.0,https://cyccomputer.pe/laptop-intel/18790-laptop-hp-15-dw1024wm-ci3-10110u-1564gbssd-128gb-win-10h-platinum.html,10
https://cyccomputer.pe/45937-home_default/ssd-4tb-kingston-kc3000-m2-2280-nvme-pcie-40-pnskc3000d4096g.jpg,SSD 4TB KINGSTON KC3000 M.2 2280 NVMe PCIe 4.0 (PN:SKC3000D/4096G),2496.0,640.0,https://cyccomputer.pe/ssd-m2-2280-pcie/22326-ssd-4tb-kingston-kc3000-m2-2280-nvme-pcie-40-pnskc3000d4096g.html,1
https://cyccomputer.pe/35387-home_default/laptop-asus-vivobook-s14-m433ua-eb046t-amd-ryzen-5-5500u-148gbssd-512gbwin-10-resolute-red-pn90nb0tm1-m01870.jpg,"LAPTOP ASUS VIVOBOOK S14 M433UA-EB046T AMD RYZEN 5 5500U 14""/8GB/SSD 512GB/WIN 10 RESOLUTE RED (PN:90NB0TM1-M01870)",3116.1,799.0,https://cyccomputer.pe/laptop-amd/19892-laptop-asus-vivobook-s14-m433ua-eb046t-amd-ryzen-5-5500u-148gbssd-512gbwin-10-resolute-red-pn90nb0tm1-m01870.html,1
https://cyccomputer.pe/41949-home_default/all-in-one-lg-24v50n-g-ah58b4-23-8-core-i5-10210u-8gb-ddr4-1tb-w-10-garantia-lg.jpg,"ALL IN ONE LG 24V50N-G.AH58B4 INTEL CORE I5 10210U 23.8""/8GB DDR4/1TB/ WIN 10 HOME",3299.99,846.15,https://cyccomputer.pe/pc-all-in-one/17106-all-in-one-lg-24v50n-g-ah58b4-23-8-core-i5-10210u-8gb-ddr4-1tb-w-10-garantia-lg.html,2
https://cyccomputer.pe/34392-home_default/laptop-dell-latitude-3410-ci7-10210u-148gbssd-256gbubuntu-pnl341i7cls8256ub1wxcto.jpg,"LAPTOP DELL LATITUDE 3410 CI7-10210U 14""/8GB/SSD 256GB/UBUNTU (PN:L341i7CLs8256UB1WXCTO)",3783.0,970.0,https://cyccomputer.pe/ofertas-cc/18696-laptop-dell-latitude-3410-ci7-10210u-148gbssd-256gbubuntu-pnl341i7cls8256ub1wxcto.html,1
https://cyccomputer.pe/34801-home_default/laptop-dell-vostro-5402-ci7-1165g7-148gbssd-256gbwind-10-pro-gray-.jpg,"LAPTOP DELL VOSTRO 5402 CI7-1165G7 14""/8GB/SSD 256GB/WIND 10 PRO GRAY",4173.0,1070.0,https://cyccomputer.pe/laptop-intel/18797-laptop-dell-vostro-5402-ci7-1165g7-148gbssd-256gbwind-10-pro-gray-.html,10
https://cyccomputer.pe/34396-home_default/laptop-dell-latitude-3410-ci7-10210u-148gbssd-256gbw10-pro.jpg,"LAPTOP DELL LATITUDE 3410 CI7-10510U 14""/8GB/SSD 256GB/W10 PRO",4485.0,1150.0,https://cyccomputer.pe/ofertas-cc/18681-laptop-dell-latitude-3410-ci7-10210u-148gbssd-256gbw10-pro.html,1
https://cyccomputer.pe/32947-home_default/laptop-msi-modern-15-a11m-uma-ci5-1135g7-1568gbssd-512gbw10-home-plus-odd-carbon-gray-pn9s7-155226-078.jpg,"LAPTOP MSI MODERN 15 A11M (UMA) CI5-1135G7 15.6""/8GB/SSD 512GB/W10 HOME PLUS ODD CARBON GRAY (PN:9S7-155226-078)",4500.02,1153.85,https://cyccomputer.pe/ofertas-cc/17173-laptop-msi-modern-15-a11m-uma-ci5-1135g7-1568gbssd-512gbw10-home-plus-odd-carbon-gray-pn9s7-155226-078.html,1
https://cyccomputer.pe/32955-home_default/laptop-msi-modern-15-a11sb-nvidia-mx450-2gb-gddr5ci7-1165g715616gbssd-512gbw10-home-plus-odd-carbon-gray-.jpg,"LAPTOP MSI MODERN 15 A11SB NVIDIA MX450 2GB GDDR5/CI7-1165G7/15.6""/16GB/SSD 512GB/W10 HOME PLUS ODD CARBON GRAY",5659.02,1451.03,https://cyccomputer.pe/laptop-intel/17172-laptop-msi-modern-15-a11sb-nvidia-mx450-2gb-gddr5ci7-1165g715616gbssd-512gbw10-home-plus-odd-carbon-gray-.html,4
